Input Current,max Membrane Voltage (mV),min Membrane Voltage (mV)
0,0.0005496197599286,0.0
1,110.32669801987744,-1.3990129018888393
2,105.54340839477136,-10.103350311113948
3,105.68628218475206,-9.999072040951544
4,105.81776862665272,-9.895053482389294
5,105.935436125429,-9.791385400896598
6,106.04399601540986,-9.687995641127795
7,106.14842566131576,-9.5848745333942
8,106.24260440127956,-9.481978291332318
9,106.33370663533012,-9.379382792565384
10,106.42047904316904,-9.27722931783736
11,106.50345163468808,-9.175204994308238
12,1.8761325636916095,0.0
13,106.57937658674766,-9.073400568621397
14,106.65664978791452,-8.971883548393096
15,106.72553545898026,-8.870532671638136
16,106.79559144445076,-8.769500339270794
17,106.86709224147864,-8.668719672320034
18,106.93417646545475,-8.567947133737116
19,106.996081300326,-8.46768628320012
20,107.0584404542138,-8.367467558322431
21,107.12257138541226,-8.267433429162782
22,107.18304620529058,-8.167634521624665
23,4.968548211252373,-0.1091662963110941
24,107.24164561441296,-8.068048668127515
25,107.2979866546556,-7.968592469668041
26,107.35001554493694,-7.869159226573307
27,107.41019391648084,-7.77028323014883
28,107.46598302794808,-7.671191049127043
29,107.51582918834488,-7.572641254888419
30,107.57325007349188,-7.473976854107121
31,107.62328497171175,-7.375494405019548
32,107.67461609813114,-7.27736671580289
33,107.7288601238544,-7.179298017279913
34,102.78737653603956,-10.833877832710748
35,107.77761714578406,-7.081338047695233
36,107.82328330049243,-6.983517791546944
37,107.8747490716469,-6.885852421432241
38,107.92606163702008,-6.788343518061279
39,107.97557051819788,-6.690980741474959
40,108.02397628419595,-6.593743080200523
41,108.07168072483596,-6.496599772071807
42,108.11884827912486,-6.3995109666995695
43,108.16544884995204,-6.302597021801541
44,108.21128679870014,-6.206042387049854
45,103.79695527047278,-10.73280425397068
46,108.25601939940972,-6.109472162509153
47,108.29916698650828,-6.012817596283048
48,108.34405047734812,-5.916552330205384
49,108.39279835721408,-5.820393418717251
50,108.43974019455057,-5.724010144812552
51,108.48402087694794,-5.628237866643313
52,108.52465431524271,-5.532249120041412
53,108.569097802733,-5.436480276498751
54,108.616803024934,-5.340820499107345
55,108.65961319400706,-5.245183130378984
56,104.32827675801347,-10.628415896591054
57,108.69705845432908,-5.149763474830869
58,108.74667811244484,-5.054355693086307
59,108.7897274621799,-4.9590671767775305
60,108.82689705214906,-4.863963589901195
61,108.87590990979808,-4.768679138082288
62,108.91622905066428,-4.673935580693219
63,108.9580202977543,-4.578852831727954
64,109.0030516002798,-4.484168370740145
65,109.0382594543018,-4.389525806413239
66,109.08714597903976,-4.2946267304021815
67,104.68941532768592,-10.523250514607298
68,109.123878527488,-4.2003482466826
69,109.16988022147244,-4.105937326173938
70,109.20866443938245,-4.011331875769944
71,109.25207851829354,-3.917235695766679
72,109.29183142024384,-3.823142541895514
73,109.33416046619392,-3.72890134309834
74,109.37373526479614,-3.634737550741962
75,109.41623410098066,-3.541014601224618
76,109.45440772912768,-3.447178238474064
77,109.4981567539547,-3.353249477303501
78,104.96680291259707,-10.41800482759535
79,109.53361157902692,-3.259346187332397
80,109.57957281351408,-3.16593170903015
81,109.61261068995408,-3.0724466519471823
82,109.65993426189388,-2.978906917783379
83,109.69640031805297,-2.885326998162176
84,109.7385077492902,-2.791818301787137
85,109.77911412252702,-2.698726376244907
86,109.81437056958715,-2.6056044734482726
87,109.85983537889196,-2.512463646224367
88,109.89465236150022,-2.4193139607884127
89,105.1917980966505,-10.312825380294951
90,109.93746608844918,-2.3261645763112293
91,109.9777933826167,-2.233023816898163
92,110.01070251793948,-2.1402058202711327
93,110.05724419446548,-2.047489434710825
94,110.09425659857756,-1.954781120650608
95,110.1315333289932,-1.8620871736279887
96,110.17524706194824,-1.7694132781872904
97,110.21035814510492,-1.6767645523025967
98,110.25012854331294,-1.5841455879731727
99,110.29236118778503,-1.4915604883721123
100,105.3767275548979,-10.208009608605725
